0.000000 0.000000 8.000000
0.000000 0.100000 8.000000
0.000000 0.200000 8.000000
0.000000 0.300000 8.000000
0.000000 0.400000 8.000000
0.000000 0.500000 8.000000
0.000000 0.600000 8.000000
0.000000 0.700000 8.000000
0.000000 0.800000 8.000000
0.000000 0.900000 8.000000
0.000000 1.000000 8.000000
0.000000 1.100000 8.000000
0.000000 1.200000 8.000000
0.000000 1.300000 8.000000
0.000000 1.400000 8.000000
0.000000 1.500000 8.000000
0.000000 1.600000 8.000000
0.000000 1.700000 8.000000
0.000000 1.800000 8.000000
0.000000 1.900000 8.000000
0.100000 0.000000 0.000000
0.100000 0.100000 3.976679
0.100000 0.200000 5.534131
0.100000 0.300000 6.253101
0.100000 0.400000 6.634098
0.100000 0.500000 6.856815
0.100000 0.600000 6.994492
0.100000 0.700000 7.080490
0.100000 0.800000 7.131225
0.100000 0.900000 7.154871
0.100000 1.000000 7.154871
0.100000 1.100000 7.131226
0.100000 1.200000 7.080490
0.100000 1.300000 6.994492
0.100000 1.400000 6.856815
0.100000 1.500000 6.634098
0.100000 1.600000 6.253101
0.100000 1.700000 5.534131
0.100000 1.800000 3.976679
0.100000 1.900000 0.000000
0.200000 0.000000 0.000000
0.200000 0.100000 2.372586
0.200000 0.200000 3.906744
0.200000 0.300000 4.844175
0.200000 0.400000 5.426476
0.200000 0.500000 5.798672
0.200000 0.600000 6.040663
0.200000 0.700000 6.196244
0.200000 0.800000 6.289541
0.200000 0.900000 6.333389
0.200000 1.000000 6.333389
0.200000 1.100000 6.289540
0.200000 1.200000 6.196244
0.200000 1.300000 6.040663
0.200000 1.400000 5.798672
0.200000 1.500000 5.426476
0.200000 1.600000 4.844175
0.200000 1.700000 3.906744
0.200000 1.800000 2.372586
0.200000 1.900000 0.000000
0.300000 0.000000 0.000000
0.300000 0.100000 1.606922
0.300000 0.200000 2.876084
0.300000 0.300000 3.790380
0.300000 0.400000 4.428959
0.300000 0.500000 4.870733
0.300000 0.600000 5.173244
0.300000 0.700000 5.374285
0.300000 0.800000 5.497305
0.300000 0.900000 5.555758
0.300000 1.000000 5.555757
0.300000 1.100000 5.497305
0.300000 1.200000 5.374285
0.300000 1.300000 5.173244
0.300000 1.400000 4.870733
0.300000 1.500000 4.428959
0.300000 1.600000 3.790380
0.300000 1.700000 2.876084
0.300000 1.800000 1.606922
0.300000 1.900000 0.000000
0.400000 0.000000 0.000000
0.400000 0.100000 1.179018
0.400000 0.200000 2.200290
0.400000 0.300000 3.012305
0.400000 0.400000 3.628247
0.400000 0.500000 4.082059
0.400000 0.600000 4.407296
0.400000 0.700000 4.630346
0.400000 0.800000 4.769639
0.400000 0.900000 4.836578
0.400000 1.000000 4.836578
0.400000 1.100000 4.769638
0.400000 1.200000 4.630346
0.400000 1.300000 4.407296
0.400000 1.400000 4.082059
0.400000 1.500000 3.628247
0.400000 1.600000 3.012305
0.400000 1.700000 2.200290
0.400000 1.800000 1.179018
0.400000 1.900000 0.000000
0.500000 0.000000 0.000000
0.500000 0.100000 0.908859
0.500000 0.200000 1.733754
0.500000 0.300000 2.430303
0.500000 0.400000 2.989665
0.500000 0.500000 3.421964
0.500000 0.600000 3.743536
0.500000 0.700000 3.970168
0.500000 0.800000 4.114326
0.500000 0.900000 4.184342
0.500000 1.000000 4.184342
0.500000 1.100000 4.114326
0.500000 1.200000 3.970167
0.500000 1.300000 3.743535
0.500000 1.400000 3.421964
0.500000 1.500000 2.989664
0.500000 1.600000 2.430303
0.500000 1.700000 1.733754
0.500000 1.800000 0.908859
0.500000 1.900000 0.000000
0.600000 0.000000 0.000000
0.600000 0.100000 0.722664
0.600000 0.200000 1.395566
0.600000 0.300000 1.985489
0.600000 0.400000 2.478146
0.600000 0.500000 2.872597
0.600000 0.600000 3.174717
0.600000 0.700000 3.392465
0.600000 0.800000 3.533158
0.600000 0.900000 3.602123
0.600000 1.000000 3.602123
0.600000 1.100000 3.533157
0.600000 1.200000 3.392464
0.600000 1.300000 3.174717
0.600000 1.400000 2.872597
0.600000 1.500000 2.478146
0.600000 1.600000 1.985489
0.600000 1.700000 1.395565
0.600000 1.800000 0.722664
0.600000 1.900000 0.000000
0.700000 0.000000 0.000000
0.700000 0.100000 0.586232
0.700000 0.200000 1.140356
0.700000 0.300000 1.637943
0.700000 0.400000 2.064834
0.700000 0.500000 2.415564
0.700000 0.600000 2.690272
0.700000 0.700000 2.891819
0.700000 0.800000 3.023719
0.700000 0.900000 3.088873
0.700000 1.000000 3.088872
0.700000 1.100000 3.023719
0.700000 1.200000 2.891819
0.700000 1.300000 2.690272
0.700000 1.400000 2.415564
0.700000 1.500000 2.064834
0.700000 1.600000 1.637943
0.700000 1.700000 1.140356
0.700000 1.800000 0.586232
0.700000 1.900000 0.000000
0.800000 0.000000 0.000000
0.800000 0.100000 0.481908
0.800000 0.200000 0.941684
0.800000 0.300000 1.361094
0.800000 0.400000 1.727684
0.800000 0.500000 2.034556
0.800000 0.600000 2.278991
0.800000 0.700000 2.460821
0.800000 0.800000 2.581032
0.800000 0.900000 2.640778
0.800000 1.000000 2.640778
0.800000 1.100000 2.581031
0.800000 1.200000 2.460821
0.800000 1.300000 2.278991
0.800000 1.400000 2.034555
0.800000 1.500000 1.727684
0.800000 1.600000 1.361094
0.800000 1.700000 0.941684
0.800000 1.800000 0.481908
0.800000 1.900000 0.000000
0.900000 0.000000 0.000000
0.900000 0.100000 0.399717
0.900000 0.200000 0.783380
0.900000 0.300000 1.137069
0.900000 0.400000 1.450254
0.900000 0.500000 1.715985
0.900000 0.600000 1.930320
0.900000 0.700000 2.091445
0.900000 0.800000 2.198811
0.900000 0.900000 2.252433
0.900000 1.000000 2.252433
0.900000 1.100000 2.198811
0.900000 1.200000 2.091445
0.900000 1.300000 1.930320
0.900000 1.400000 1.715985
0.900000 1.500000 1.450254
0.900000 1.600000 1.137068
0.900000 1.700000 0.783380
0.900000 1.800000 0.399717
0.900000 1.900000 0.000000
1.000000 0.000000 0.000000
1.000000 0.100000 0.333580
1.000000 0.200000 0.655050
1.000000 0.300000 0.953547
1.000000 0.400000 1.220281
1.000000 0.500000 1.448815
1.000000 0.600000 1.634859
1.000000 0.700000 1.775832
1.000000 0.800000 1.870337
1.000000 0.900000 1.917714
1.000000 1.000000 1.917714
1.000000 1.100000 1.870337
1.000000 1.200000 1.775832
1.000000 1.300000 1.634859
1.000000 1.400000 1.448815
1.000000 1.500000 1.220281
1.000000 1.600000 0.953547
1.000000 1.700000 0.655050
1.000000 1.800000 0.333580
1.000000 1.900000 0.000000
1.100000 0.000000 0.000000
1.100000 0.100000 0.279553
1.100000 0.200000 0.549697
1.100000 0.300000 0.801788
1.100000 0.400000 1.028512
1.100000 0.500000 1.224135
1.100000 0.600000 1.384474
1.100000 0.700000 1.506691
1.100000 0.800000 1.588996
1.100000 0.900000 1.630374
1.100000 1.000000 1.630374
1.100000 1.100000 1.588996
1.100000 1.200000 1.506691
1.100000 1.300000 1.384474
1.100000 1.400000 1.224135
1.100000 1.500000 1.028513
1.100000 1.600000 0.801788
1.100000 1.700000 0.549697
1.100000 1.800000 0.279553
1.100000 1.900000 0.000000
1.200000 0.000000 0.000000
1.200000 0.100000 0.234936
1.200000 0.200000 0.462396
1.200000 0.300000 0.675399
1.200000 0.400000 0.867848
1.200000 0.500000 1.034741
1.200000 0.600000 1.172215
1.200000 0.700000 1.277464
1.200000 0.800000 1.348585
1.200000 0.900000 1.384418
1.200000 1.000000 1.384418
1.200000 1.100000 1.348585
1.200000 1.200000 1.277464
1.200000 1.300000 1.172215
1.200000 1.400000 1.034741
1.200000 1.500000 0.867848
1.200000 1.600000 0.675399
1.200000 1.700000 0.462396
1.200000 1.800000 0.234936
1.200000 1.900000 0.000000
1.300000 0.000000 0.000000
1.300000 0.100000 0.197796
1.300000 0.200000 0.389553
1.300000 0.300000 0.569566
1.300000 0.400000 0.732742
1.300000 0.500000 0.874768
1.300000 0.600000 0.992185
1.300000 0.700000 1.082370
1.300000 0.800000 1.143466
1.300000 0.900000 1.174297
1.300000 1.000000 1.174297
1.300000 1.100000 1.143466
1.300000 1.200000 1.082370
1.300000 1.300000 0.992185
1.300000 1.400000 0.874768
1.300000 1.500000 0.732742
1.300000 1.600000 0.569566
1.300000 1.700000 0.389553
1.300000 1.800000 0.197796
1.300000 1.900000 0.000000
1.400000 0.000000 0.000000
1.400000 0.100000 0.166696
1.400000 0.200000 0.328454
1.400000 0.300000 0.480574
1.400000 0.400000 0.618788
1.400000 0.500000 0.739407
1.400000 0.600000 0.839391
1.400000 0.700000 0.916369
1.400000 0.800000 0.968615
1.400000 0.900000 0.995012
1.400000 1.000000 0.995012
1.400000 1.100000 0.968615
1.400000 1.200000 0.916369
1.400000 1.300000 0.839391
1.400000 1.400000 0.739407
1.400000 1.500000 0.618788
1.400000 1.600000 0.480574
1.400000 1.700000 0.328454
1.400000 1.800000 0.166696
1.400000 1.900000 0.000000
1.500000 0.000000 0.000000
1.500000 0.100000 0.140533
1.500000 0.200000 0.276996
1.500000 0.300000 0.405488
1.500000 0.400000 0.522432
1.500000 0.500000 0.624684
1.500000 0.600000 0.709607
1.500000 0.700000 0.775103
1.500000 0.800000 0.819618
1.500000 0.900000 0.842128
1.500000 1.000000 0.842128
1.500000 1.100000 0.819618
1.500000 1.200000 0.775103
1.500000 1.300000 0.709607
1.500000 1.400000 0.624684
1.500000 1.500000 0.522432
1.500000 1.600000 0.405488
1.500000 1.700000 0.276996
1.500000 1.800000 0.140533
1.500000 1.900000 0.000000
1.600000 0.000000 0.000000
1.600000 0.100000 0.118443
1.600000 0.200000 0.233510
1.600000 0.300000 0.341953
1.600000 0.400000 0.440771
1.600000 0.500000 0.527293
1.600000 0.600000 0.599253
1.600000 0.700000 0.654823
1.600000 0.800000 0.692629
1.600000 0.900000 0.711759
1.600000 1.000000 0.711759
1.600000 1.100000 0.692629
1.600000 1.200000 0.654823
1.600000 1.300000 0.599253
1.600000 1.400000 0.527293
1.600000 1.500000 0.440771
1.600000 1.600000 0.341954
1.600000 1.700000 0.233510
1.600000 1.800000 0.118443
1.600000 1.900000 0.000000
1.700000 0.000000 0.000000
1.700000 0.100000 0.099728
1.700000 0.200000 0.196647
1.700000 0.300000 0.288047
1.700000 0.400000 0.371407
1.700000 0.500000 0.444468
1.700000 0.600000 0.505294
1.700000 0.700000 0.552309
1.700000 0.800000 0.584319
1.700000 0.900000 0.600524
1.700000 1.000000 0.600524
1.700000 1.100000 0.584319
1.700000 1.200000 0.552309
1.700000 1.300000 0.505294
1.700000 1.400000 0.444468
1.700000 1.500000 0.371407
1.700000 1.600000 0.288047
1.700000 1.700000 0.196647
1.700000 1.800000 0.099728
1.700000 1.900000 0.000000
1.800000 0.000000 0.000000
1.800000 0.100000 0.083823
1.800000 0.200000 0.165306
1.800000 0.300000 0.242184
1.800000 0.400000 0.312343
1.800000 0.500000 0.373880
